park_name,fountain_number,location_description,status,
SHERIDAN (PHILIP HENRY),Sheridan (Philip Henry) #2,"NORTH SIDE OF FIELDHOUSE, EAST SIDE OF BOCCE COURT",Passed testing - returned to normal push-button operation,
SHERMAN (JOHN),Sherman (John) #1,POOL DECK,Passed testing - returned to normal push-button operation,
SHERMAN (JOHN),Sherman (John) #2,SOUTH OF NORTH PLAYGROUND,Passed testing - returned to normal push-button operation,
SHERMAN (JOHN),Sherman (John) #3,WEST SIDE OF FIELDHOUSE,Passed testing - returned to normal push-button operation,
SHERMAN (JOHN),Sherman (John) #4,EAST SIDE OF FIELDHOUSE,Continuous flow - To be assessed for repair/replacement/removal,
SHERMAN (JOHN),Sherman (John) #5,WEST OF LIBRARY,Continuous flow - To be assessed for repair/replacement/removal,
SHERMAN (JOHN),Sherman (John) #6,NORTH OF SOUTH PLAYGROUND,Passed testing - returned to normal push-button operation,
SHERWOOD (JESSE),Sherwood (Jesse) #1,"SPRAY POOL, ON WALL OF FILTER ROOM ",Passed testing - returned to normal push-button operation,
SHERWOOD (JESSE),Sherwood (Jesse) #2,ATTACHED TO FOOTWASH/SHOWER AT SPRAYPOOL ENTRANCE,Passed testing - returned to normal push-button operation,
SHERWOOD (JESSE),Sherwood (Jesse) #3,"SOUTHWEST OF FIELDHOUSE, ON PATH",Passed testing - returned to normal push-button operation,
SIMONS (ALMIRA),Simons (Almira) #1,WEST OF PLAYGROUND,Passed testing - returned to normal push-button operation,
SINTIC (GREGORY),Sintic (Gregory) #1,INSIDE PLAYLOT AT NORTH ENTRANCE,Continuous flow - To be assessed for repair/replacement/removal,
SKINNER (MARK),Skinner (Mark) #1,SOUTHWEST CORNER OF FIELD HOUSE,Passed testing - returned to normal push-button operation,
SKINNER (MARK),Skinner (Mark) #2,"IN PLAYLOT, SOUTH OF NORTHWEST GATE",Passed testing - returned to normal push-button operation,
SKINNER (MARK),Skinner (Mark) #3,OUTSIDE SOUTHWEST PLAYLOT GATE,Inactive.  Needs repair,
SMITH (JOSEPH HIGGINS),Smith (Joseph Higgins) #1,CORNER OF HURON AND CAMPBELL,Passed testing - returned to normal push-button operation,
SMITH (JOSEPH HIGGINS),Smith (Joseph Higgins) #2,EAST OF TENNIS COURT,Passed testing - returned to normal push-button operation,
SMITH (JOSEPH HIGGINS),Smith (Joseph Higgins) #3,NEXT TO SOUTHWEST DIAMOND,Passed testing - returned to normal push-button operation,
SMITH (JOSEPH HIGGINS),Smith (Joseph Higgins) #4,POOL DECK,Passed testing - returned to normal push-button operation,
SMITH (WENDELL),Smith (Wendell) #1,ON PATH  BETWEEN DIAMOND AND BASKETBALL COURTS,Passed testing - returned to normal push-button operation,
SMITH (WENDELL),Smith (Wendell) #2,SOUTHEAST CORNER OF FIELDHOUSE,Passed testing - returned to normal push-button operation,
SMITH (WENDELL),Smith (Wendell) #3,SOUTHWEST CORNER OF PARK OFF 99TH,Passed testing - returned to normal push-button operation,
SNAPPING TURTLE,Snapping Turtle #1,AT MAIN ENTRANCE,Passed testing - returned to normal push-button operation,
SNOWBERRY,Snowberry #1,NEXT TO ENTRANCE ON HURON,Passed testing - returned to normal push-button operation,
SOUTH LAKEVIEW,South Lakeview #1,NEAR ENTRANCE ON WOLDRAM,Passed testing - returned to normal push-button operation,
SOUTH SHORE CULTL. CTR.,South Shore Cultural Center #1,SOUTH OF BALLROOM ON PATH ADJACENT TO BUILDING,Continuous flow - To be assessed for repair/replacement/removal,
SPIKINGS FARM,Spikings Farm #1,AT ENTRANCE,Passed testing - returned to normal push-button operation,
SPRUCE,Spruce #1,WEST OF PLAYGROUND ON BLACKSTONE,Continuous flow - To be assessed for repair/replacement/removal,
STANTON (EDWIN),Stanton (Edwin) #1,BETWEEN PLAYGROUND AND BALL FIELDS,Inactive. Under construction,
STANTON (EDWIN),Stanton (Edwin) #2,NORTH OF BASKETBALL COURTS CLOSEST TO THE SCHOOL,Fountain Repaired - in flushing protocol,
STARR (ELLEN GATES),Starr (Ellen Gates) #1,NORTH OF PLAYGROUND,Passed testing - returned to normal push-button operation,
STARS & STRIPES,Stars & Stripes #1,PLAYGROUND,Passed testing - returned to normal push-button operation,
STOUT (FLORENCE),Stout (Florence) #1,"INSIDE NORTHEAST ENTRANCE, SOUTH OF PLAYGROUND",Continuous flow - To be assessed for repair/replacement/removal,
STOUT (FLORENCE),Stout (Florence) #2,"WEST SIDE OF PARK, AT 54TH PLACE ENTRANCE",Passed testing - returned to normal push-button operation,
STROHACKER (HOWARD),Strohacker (Howard) #1,"SOUTH OF PLAYGROUND, ON KOLIN",Continuous flow - To be assessed for repair/replacement/removal,
SUMAC,Sumac #1,LOCATED AT NORTH ENTRANCE ON 42ND STREET,Passed testing - returned to normal push-button operation,
SUN YAT-SEN,Sun Yat-Sen #1,"IN PLAZA, SOUTH OF ENTRANCE GATEWAY, EAST OF STATUE",Passed testing - returned to normal push-button operation,
SUPERA,Supera #1,NEAR ENTRANCE ON DRAPER,Passed testing - returned to normal push-button operation,
SUPERIOR,Superior #1,NEAR PARK ENTRANCE ON HOYNE,Passed testing - returned to normal push-button operation,
SWEET CLOVER,Sweet Clover #1,NORTHWEST OF MAIN ENTRANCE,Inactive. Vandalized,
SYCAMORE,Sycamore #1,INSIDE ENTRANCE ON GREENWOOD,Continuous flow - To be assessed for repair/replacement/removal,
TAYLOR (ROBERT ROCHON),Taylor (Robert Rochon) #1,"OFF STATE, ALONG DRIVEWAY",Passed testing - returned to normal push-button operation,
TAYLOR (ROBERT ROCHON),Taylor (Robert Rochon) #2,ON POOL DECK,Passed testing - returned to normal push-button operation,
"TAYLOR-LAURIDSEN (JOHN, EMIL)","Taylor-Lauridsen (John, Emil) #1",IN PLAYGROUND,Passed testing - returned to normal push-button operation,
"TAYLOR-LAURIDSEN (JOHN, EMIL)","Taylor-Lauridsen (John, Emil) #2","SOUTH END OF PARK, NEAR BASEBALL DIAMOND",Passed testing - returned to normal push-button operation,
THROOP (AMOS GAGER),Throop (Amos Gager) #1,INSIDE NORTHERN ENTRANCE ON THROOP,Passed testing - returned to normal push-button operation,
THUIS (GRACE ZWIEFKA),Thuis (Grace Zwiefka) #1,"NORTHWEST CORNER OF PARK, NEAR PLAYGROUND",Continuous flow - To be assessed for repair/replacement/removal,
TILL-MOBLEY (MAMIE),Till-Mobley (Mamie) #1,EAST OF BASKETBALL COURT,Continuous flow - To be assessed for repair/replacement/removal,
TILTON (GEORGE),Tilton (George) #1,WEST OF FIELDHOUSE NEAR BASKETBALL COURT,Passed testing - returned to normal push-button operation,
TOM (PING) MEML.,Tom (Ping) Meml. #1,WEST SIDE OF BOATHOUSE,Passed testing - returned to normal push-button operation,
TOM (PING) MEML.,Tom (Ping) Meml. #2,EAST SIDE OF PLAYLOT,Passed testing - returned to normal push-button operation,
TOM (PING) MEML.,Tom (Ping) Meml. #3,"SOUTHERNMOST LOOP ON WALKING PATH, 30' SOUTHWEST OF FORK",Passed testing - returned to normal push-button operation,
TOM (PING) MEML.,Tom (Ping) Meml. #4,NORTH OF 18TH BEHIND BASEBALL DIAMOND,Inactive. Needs repair,
TOUHY (PATRICK),Touhy (Patrick) #1,"NORTH OF FIELDHOUSE, NEAR PLAYGROUND",Passed testing - returned to normal push-button operation,
TOUHY (PATRICK),Touhy (Patrick) #2,"BEHIND HOME PLATE OF NORTH DIAMOND, ON PATH",Passed testing - returned to normal push-button operation,
TOUHY (PATRICK),Touhy (Patrick) #3,"NORTH OF TENNIS COURTS, ON PATH",Off. To be assessed for repair/replacement/removal,
"TOUHY-HERBERT (JOHN, VICTOR)","Touhy-Herbert (John, Victor) #1","NORTHWEST CORNER, NEAR ALLEY BEHIND SCHOOL",Passed testing - returned to normal push-button operation,
"TOUHY-HERBERT (JOHN, VICTOR)","Touhy-Herbert (John, Victor) #2",NORTHEAST CORNER OF FIELD HOUSE,Passed testing - returned to normal push-button operation,
TREBES (ROBERT),Trebes (Robert) #1,NORTH OF PLAYGROUND,Continuous flow - To be assessed for repair/replacement/removal,
TREBES (ROBERT),Trebes (Robert) #2,"ON RACINE, BEHIND HOME PLATE OF BASEBALL DIAMOND",Passed testing - returned to normal push-button operation,
TRIANGLE,Triangle #1,"ON PATH, EAST OF HASKINS, ALONG JUNEWAY TERRACE",Passed testing - returned to normal push-button operation,
TRUMBULL (LYMAN),Trumbull (Lyman) #1,FIRST BASE LINE OF NORTHEAST DIAMOND,Passed testing - returned to normal push-button operation,
TRUMBULL (LYMAN),Trumbull (Lyman) #2,THIRD BASE LINE OF SOUTHWEST DIAMOND,Passed testing - returned to normal push-button operation,
TRUMBULL (LYMAN),Trumbull (Lyman) #3,"NORTH SIDE OF FIELDHOUSE, ON PATH",Passed testing - returned to normal push-button operation,
TRUMBULL (LYMAN),Trumbull (Lyman) #4,ON RUNNING TRACK,Passed testing - returned to normal push-button operation,
TRUMBULL (LYMAN),Trumbull (Lyman) #5,EAST OF FIELDHOUSE,Passed testing - returned to normal push-button operation,
TRUMBULL (LYMAN),Trumbull (Lyman) #6,POOL DECK,Passed testing - returned to normal push-button operation,
TULEY (MURRAY),Tuley (Murray) #1,IN FRONT OF FIELDHOUSE,Passed testing - returned to normal push-button operation,
TULEY (MURRAY),Tuley (Murray) #2,NEXT TO TENNIS COURTS,Passed testing - returned to normal push-button operation,
TULEY (MURRAY),Tuley (Murray) #3,COURTYARD NORTH,Passed testing - returned to normal push-button operation,
TULEY (MURRAY),Tuley (Murray) #4,COURTYARD SOUTH,Passed testing - returned to normal push-button operation,
TULEY (MURRAY),Tuley (Murray) #5,NORTH POOL DECK,Passed testing - returned to normal push-button operation,
TULEY (MURRAY),Tuley (Murray) #6,SOUTH POOL DECK,Passed testing - returned to normal push-button operation,
TULEY (MURRAY),Tuley (Murray) #7,WEST OF BASKETBALL COURTS,Passed testing - returned to normal push-button operation,
UNION,Union #1,NORTH SIDE OF POOL DECK,Passed testing - returned to normal push-button operation,
UNION,Union #2,"INSIDE PLAYGROUND, SOUTHERN AREA",Passed testing - returned to normal push-button operation,
UNION,Union #3,SOUTHWEST CORNER OF FIELDHOUSE,Passed testing - returned to normal push-button operation,
UNION,Union #4,"SOUTH OF DIAMOND #1, NORTH OF PATH",Passed testing - returned to normal push-button operation,
UNITY,Unity #1,COMFORT STATION - NORTH SIDE,Passed testing - returned to normal push-button operation,
UNITY,Unity #2,COMFORT STATION - SOUTH SIDE,Passed testing - returned to normal push-button operation,
UNITY,Unity #3,"ON SHOWER, SOUTH OF SPRAYPOOL, WEST OF SWINGSET",Passed testing - returned to normal push-button operation,
UNITY,Unity #4,NORTH OF DRUMMOND,Passed testing - returned to normal push-button operation,
VALLEY FORGE,Valley Forge #1,NORTH OF BASKETBALL COURT,Continuous flow - To be assessed for repair/replacement/removal,
VALLEY FORGE,Valley Forge #2,AT PARK ENTRANCE NEAR 59TH AND NORDICA,In flushing protocol - 2017 EPA Test pending,
VETERANS' MEMORIAL,Veterans' Memorial #1,NORTH SIDE OF PLAYGROUND,Passed testing - returned to normal push-button operation,
VIOLET,Violet #1,SOUTH OF PLAYGROUND ENTRANCE,Passed testing - returned to normal push-button operation,
VITTUM (HARRIET ELIZABETH),Vittum (Harriet Elizabeth) #1,SOUTHEAST OF LANDSCAPE BUILDING,Passed testing - returned to normal push-button operation,
VITTUM (HARRIET ELIZABETH),Vittum (Harriet Elizabeth) #2,BETWEEN SPRAY POOL AND BASKETBALL COURT,Passed testing - returned to normal push-button operation,
VITTUM (HARRIET ELIZABETH),Vittum (Harriet Elizabeth) #3,"BETWEEN JUNIOR AND SENIOR DIAMONDS, AT ABOUT 50TH AND LAWLER",Passed testing - returned to normal push-button operation,
VOGLE (HENRY JR.),Vogle (Henry Jr.) #1,NEAR HOYNE ENTRANCE,Continuous flow - To be assessed for repair/replacement/removal,
WALLACE,Wallace #1,IN PLAYGROUND,Passed testing - returned to normal push-button operation,
WALNUT,Walnut #1,BETWEEN COURTS AND PLAYGROUND,Continuous flow - To be assessed for repair/replacement/removal,
WALSH (JOHN),Walsh (John) #1,NORTHEAST CORNER OF PARK,Passed testing - returned to normal push-button operation,
WALSH (JOHN),Walsh (John) #2,IN NORTH DOG AREA,Passed testing - returned to normal push-button operation,
WALSH (JOHN),Walsh (John) #3,IN SOUTH DOG AREA,Passed testing - returned to normal push-button operation,
WALSH (JOHN),Walsh (John) #4,SOUTH OF PLAYGROUND,Passed testing - returned to normal push-button operation,
WANG (CHI CHE),Wang (Chi Che) #1,NORTH OF PLAYLOT,Passed testing - returned to normal push-button operation,
WARD (A. MONTGOMERY),Ward (A. Montgomery) #1,"IN DOG AREA, IN THE MIDDLE OF THE FENCE FACING KINGSBURY",Passed testing - returned to normal push-button operation,
WARD (A. MONTGOMERY),Ward (A. Montgomery) #2,"IN PLAYGROUND AREA, BETWEEN SWINGSET AND PICNIC AREA",Passed testing - returned to normal push-button operation,
WARREN (LAURENCE),Warren (Laurence) #1,"NORTHWEST CORNER OF PARK, NORTH OF PLAYLOT",Continuous flow - To be assessed for repair/replacement/removal,
WARREN (LAURENCE),Warren (Laurence) #2,NEAR GOLF BATHROOM,Continuous flow - To be assessed for repair/replacement/removal,
WARREN (LAURENCE),Warren (Laurence) #3,NORTHEAST CORNER OF PARK NEAR PLAYLOT,Continuous flow - To be assessed for repair/replacement/removal,
WARREN (LAURENCE),Warren (Laurence) #4,"EAST OF BASEBALL DIAMOND, WEST OF GOLF COURSE, ON PATH",Continuous flow - To be assessed for repair/replacement/removal,
WARREN (LAURENCE),Warren (Laurence) #5,NORTH OF TENNIS COURTS,Passed testing - returned to normal push-button operation,
WARREN (LAURENCE),Warren (Laurence) #6,SOUTHWEST PLAYLOT,Continuous flow - To be assessed for repair/replacement/removal,
WARREN (LAURENCE),Warren (Laurence) #7,CRICKET FIELD,Passed testing - returned to normal push-button operation,
WARREN (LAURENCE),Warren (Laurence) #8,"HORSESHOE PIT, EAST OF CRICKET FIELD",Passed testing - returned to normal push-button operation,
WASHINGTON (DINAH),Washington (Dinah) #1,AT ENTRANCE ON SOUTH CHICAGO,Passed testing - returned to normal push-button operation,
WASHINGTON (GEORGE),Washington (George) #1,"SOUTH EAST OF FOUNTAIN OF TIME, SOUTH SIDE OF BEST",Passed testing - returned to normal push-button operation,
WASHINGTON (GEORGE),Washington (George) #2,"SOUTH OF 7 HILLS COMFORT STATION, SOUTH OF 57TH STREET",Passed testing - returned to normal push-button operation,
WASHINGTON (GEORGE),Washington (George) #3,"EAST SIDE OF PAYNE, SOUTH OF SE TRADES BUILDING",Continuous flow - To be assessed for repair/replacement/removal,
WASHINGTON (GEORGE),Washington (George) #4,EAST OF CASTING POND ON MORGAN,Continuous flow - To be assessed for repair/replacement/removal,
WASHINGTON (GEORGE),Washington (George) #5,"SOUTH EAST OF 55TH COMFORT STATION, ON PATH",Continuous flow - To be assessed for repair/replacement/removal,
WASHINGTON (GEORGE),Washington (George) #6,SOUTHEAST CORNER OF 55TH AND COTTAGE PLAYGROUND,Continuous flow - To be assessed for repair/replacement/removal,
WASHINGTON (GEORGE),Washington (George) #7,"IN FIELD, SOUTH SIDE OF ARMORY BUILDING",Passed testing - returned to normal push-button operation,
WASHINGTON (GEORGE),Washington (George) #8,"WEST SIDE OF PAYNE, WEST OF ARMORY BUILDING",Passed testing - returned to normal push-button operation,
WASHINGTON (GEORGE),Washington (George) #9,SOUTH OF NORTHWEST PLAYGROUND/SPRAYPOOL,Continuous flow - To be assessed for repair/replacement/removal,
WASHINGTON (GEORGE),Washington (George) #10,"WEST SIDE OF WEST PATH, EAST OF SCHOOL",Passed testing - returned to normal push-button operation,
WASHINGTON (GEORGE),Washington (George) #11,"WEST OF WEST CRICKET FIELD, IN FIELD",Passed testing - returned to normal push-button operation,
WASHINGTON (GEORGE),Washington (George) #12,"200' NORTH OF RAINEY, IN FIELD, BETWEEN SOUTH AND SOUTHEAST BASEBALL DIAMONDS",Passed testing - returned to normal push-button operation,
WASHINGTON (GEORGE),Washington (George) #13,NORTHEAST CORNER OF 56TH AND KING FIELDHOUSE,Continuous flow - To be assessed for repair/replacement/removal,
WASHINGTON (GEORGE),Washington (George) #14,SOUTHWEST CORNER OF POOL DECK,Passed testing - returned to normal push-button operation,
WASHINGTON (GEORGE),Washington (George) #15,NEXT TO SPRAYPOOL SOUTH OF SWIMMING POOL,Passed testing - returned to normal push-button operation,
WASHINGTON (GEORGE),Washington (George) #16,"LOOP DRIVE, ON PATH TO LAGOON",Continuous flow - To be assessed for repair/replacement/removal,
WASHINGTON (GEORGE),Washington (George) #18,NORTHEAST CORNER OF MUSEUM,Passed testing - returned to normal push-button operation,
WASHINGTON (GEORGE),Washington (George) #19,(LOC. NEEDED),Passed testing - returned to normal push-button operation,
WASHINGTON (HAROLD),Washington (Harold) #1,WEST OF COMFORT STATION AT FORK IN PATH,Passed testing - returned to normal push-button operation,
WASHINGTON (HAROLD),Washington (Harold) #2,HAROLD WASHINGTON PLAYGROUND,Passed testing - returned to normal push-button operation,
WASHINGTON (HAROLD),Washington (Harold) #3,ON PATH WEST OF TENNIS COURTS,Passed testing - returned to normal push-button operation,
WASHINGTON (HAROLD) MEM.,Washington (Harold) Mem. #1,AT ENTRANCE ON PAULINA,Passed testing - returned to normal push-button operation,
WASHINGTON SQUARE,Washington Square #1,"CENTER OF PARK, EAST OF FOUNTAIN",Passed testing - returned to normal push-button operation,
WASHTENAW,Washtenaw #1,BETWEEN PLAYGROUND AND FIELD HOUSE,Passed testing - returned to normal push-button operation,
WEBSTER (DANIEL),Webster (Daniel) #1,EAST SIDE - MIDDLE OF PARK,Passed testing - returned to normal push-button operation,
WEISMAN (ALBERT),Weisman (Albert) #1,NORTH SIDE OF PARK,Passed testing - returned to normal push-button operation,
WELLES (GIDEON),Welles (Gideon) #1,PLAYLOT,Passed testing - returned to normal push-button operation,
WELLES (GIDEON),Welles (Gideon) #2,"ON WESTERN, MIDDLE OF BLOCK",Passed testing - returned to normal push-button operation,
WELLES (GIDEON),Welles (Gideon) #3,BY GAZEBO,Passed testing - returned to normal push-button operation,
WELLES (GIDEON),Welles (Gideon) #4,NORTH OF TENNIS COURTS IN DRIVEWAY,Passed testing - returned to normal push-button operation,
WENDT (KENNETH),Wendt (Kenneth) #1,AT ENTRANCE ON ROSCOE,Passed testing - returned to normal push-button operation,
WENTWORTH (JOHN),Wentworth (John) #1,SOUTH OF LANDSCAPE YARD,Passed testing - returned to normal push-button operation,
WENTWORTH (JOHN),Wentworth (John) #2,SOUTH OF PLAYGROUND,Passed testing - returned to normal push-button operation,
WENTWORTH (JOHN),Wentworth (John) #3,AT 58TH AND MULLIGAN,Continuous flow - To be assessed for repair/replacement/removal,
WENTWORTH (JOHN) GARDENS,Wentworth (John) Gardens #1,"WEST FIELD HOUSE, SOUTH OF FIELDHOUSE PLAYLOT ENTRANCE",Passed testing - returned to normal push-button operation,
WESOLEK (MARLENE),Wesolek (Marlene) #1,AT ENTRANCE ON AVE M,Passed testing - returned to normal push-button operation,
WEST CHATHAM,West Chatham #1,NORTH OF FIELDHOUSE ON PATH,Passed testing - returned to normal push-button operation,
WEST CHATHAM,West Chatham #2,SPRAYPOOL,Passed testing - returned to normal push-button operation,
WEST HAVEN ,West Haven  #1,(LOC. NEEDED),Passed testing - returned to normal push-button operation,
WEST LAWN,West Lawn #1,PLAYGROUND,Passed testing - returned to normal push-button operation,
WEST LAWN,West Lawn #2,NEAR LANDSCAPE BUILDING,Passed testing - returned to normal push-button operation,
WEST LAWN,West Lawn #3,BY SPRAYPOOL,Passed testing - returned to normal push-button operation,
WEST LAWN,West Lawn #4,SOUTHEAST CORNER ON MARQUETTE,Passed testing - returned to normal push-button operation,
WEST LAWN,West Lawn #5,"SOUTHWEST CORNER, ON KILDARE",Passed testing - returned to normal push-button operation,
WEST PULLMAN,West Pullman #1,IN FRONT OF FIELDHOUSE,In flushing protocol - 2017 EPA Test pending,
WEST PULLMAN,West Pullman #2,"IN NATURE GARDEN, NORTHEAST CORNER OF PARK",Inactive. Broken service,
WEST PULLMAN,West Pullman #3,"SOUTH OF TENNIS COURTS, ON DRIVE",Inactive. Broken service,
WEST PULLMAN,West Pullman #4,"SOUTH SIDE OF PARK, ON PATH",Passed testing - returned to normal push-button operation,
WESTERN,Western #1,SOUTH OF ENTRANCE GATE,Passed testing - returned to normal push-button operation,
WHITE  (WILLYE B.),White  (Willye B.) #1,SOUTH OF PLAYGROUND,Passed testing - returned to normal push-button operation,
WHITE (EDWARD),White (Edward) #1,NEAR PLAYGROUND,Continuous flow - To be assessed for repair/replacement/removal,
"WICKER (CHARLES, JOEL)","Wicker (Charles, Joel) #1",IN PLAYGROUND,Passed testing - returned to normal push-button operation,
"WICKER (CHARLES, JOEL)","Wicker (Charles, Joel) #2",NEAR SIDEWALK AT WICKER PARK STREET AND HONORE,Continuous flow - To be assessed for repair/replacement/removal,
"WICKER (CHARLES, JOEL)","Wicker (Charles, Joel) #3",AT DECORATIVE FOUNTAIN,Passed testing - returned to normal push-button operation,
"WICKER (CHARLES, JOEL)","Wicker (Charles, Joel) #4",IN DOG AREA,Passed testing - returned to normal push-button operation,
"WICKER (CHARLES, JOEL)","Wicker (Charles, Joel) #5","ON SIDEWALK NORTH OF SCHILLER, NEXT TO DFA",Passed testing - returned to normal push-button operation,
WIEBOLDT (WILLIAM),Wieboldt (William) #1,WOUTH SIDE OF PARK,Continuous flow - To be assessed for repair/replacement/removal,
WILDWOOD,Wildwood #1,"BEHIND NORTHWEST BASEBALL DIAMOND, BEHIND PATH",Continuous flow - To be assessed for repair/replacement/removal,
WILDWOOD,Wildwood #2,"NEAR PLAYGROUND, ON PATH",Continuous flow - To be assessed for repair/replacement/removal,
WILLIAMS (DANIEL HALE),Williams (Daniel Hale) #1,ON SPRAYPOOL DECK,Continuous flow - Vandalized,
WILLIAMS (DANIEL HALE),Williams (Daniel Hale) #2,"ON DEARBORN, NORTH SIDE OF STREET, CENTER-SOUTH OF PARK",Passed testing - returned to normal push-button operation,
"WILLIAMS-DAVIS (HATTIE KAY, IZORA)","Williams-Davis (Hattie Kay, Izora) #1",SOUTH OF SPRAY FEATURE,Passed testing - returned to normal push-button operation,
WILSON (FRANK),Wilson (Frank) #1,ON PATH NEAR WEST SOFTBALL DIAMOND,Passed testing - returned to normal push-button operation,
WILSON (FRANK),Wilson (Frank) #2,PLAYGROUND,Passed testing - returned to normal push-button operation,
WILSON (FRANK),Wilson (Frank) #3,"NORTH OF BASKETBALL COURT, ON PATH",Continuous flow - To be assessed for repair/replacement/removal,
WILSON (JOHN),Wilson (John) #1,NORTHWEST CORNER OF FIELDHOUSE,Passed testing - returned to normal push-button operation,
WINNEMAC,Winnemac #1,NORTHWEST OF PLAYLOT,Passed testing - returned to normal push-button operation,
WOLCOTT (ALEXANDER),Wolcott (Alexander) #1,AT PARK ENTRANCE ON WOLCOTT,Passed testing - returned to normal push-button operation,
WOLFE (RICHARD),Wolfe (Richard) #1,SOUTH SIDE OF FIELDHOUSE,Passed testing - returned to normal push-button operation,
WOODHULL (ROSS),Woodhull (Ross) #1,WEST SIDE OF FIELDHOUSE,Passed testing - returned to normal push-button operation,
WRIGHTWOOD,Wrightwood #1,EAST SIDE OF FIELDHOUSE,Passed testing - returned to normal push-button operation,
WRIGHTWOOD,Wrightwood #2,ON POOL DECK ON COMFORT STATION WALL,Passed testing - returned to normal push-button operation,
ZATTERBERG (HELEN),Zatterberg (Helen) #1,AT ENTRANCE ON HERMITAGE,Passed testing - returned to normal push-button operation,
